name,roomname,homepage,location,maxprice,minprice,price,people,ranking,time,info_bathroom,info_bedroom,info_bogcheung,info_caravan,info_cook,info_crushedstone,info_deck,info_doubleroom,info_familyroom,info_glamping,info_grass,info_menonly,info_oceanview,info_ondolroom,info_organization,info_partyroom,info_pension,info_poolvilla,info_privatebbq,info_privatehouse,info_singlebed,info_spa,info_terrace,info_twinbed,info_unisex,info_womenonly,visitor_bathroom,visitor_bbq,visitor_bed,visitor_breakfast,visitor_bug,visitor_child,visitor_clean,visitor_concept,visitor_electricity,visitor_entertainment,visitor_facility,visitor_goodprice,visitor_hotwater,visitor_interior,visitor_kind,visitor_maintainance,visitor_mannertime,visitor_nearby,visitor_noise,visitor_parking,visitor_party,visitor_pet,visitor_photo,visitor_publictransport,visitor_rest,visitor_shade,visitor_sink,visitor_temperature,visitor_view,visitor_waterplay,visitor_wide,visitor_worthy
티앤파스텔글램핑,키즈풀빌라4,http://tnresort.kr,경기 가평군 북면 꽃넘이길 59,"400,000원","169,000원",,기준 3인 (최대 5인),"별점
4.61","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
티앤파스텔글램핑,풀빌라5,http://tnresort.kr,경기 가평군 북면 꽃넘이길 59,"470,000원","219,000원",,기준 2인 (최대 6인),"별점
4.61","영업시간
입실 15:00퇴실 11:00",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
티앤파스텔글램핑,풀빌라6,http://tnresort.kr,경기 가평군 북면 꽃넘이길 59,"470,000원","219,000원",,기준 2인 (최대 2인),"별점
4.61","영업시간
입실 15:00퇴실 11:00",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
티앤파스텔글램핑,드봉,http://tnresort.kr,경기 가평군 북면 꽃넘이길 59,"85,000원","45,000원",,기준 2인 (최대 3인),"별점
4.61","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
티앤파스텔글램핑,졸리(스파),http://tnresort.kr,경기 가평군 북면 꽃넘이길 59,"89,000원","49,000원",,기준 2인 (최대 4인),"별점
4.61","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
티앤파스텔글램핑,아라모드(스파),http://tnresort.kr,경기 가평군 북면 꽃넘이길 59,"95,000원","55,000원",,기준 2인 (최대 4인),"별점
4.61","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
티앤파스텔글램핑,샤르망(스파),http://tnresort.kr,경기 가평군 북면 꽃넘이길 59,"95,000원","55,000원",,기준 2인 (최대 4인),"별점
4.61","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
티앤파스텔글램핑,엘레강스(스파),http://tnresort.kr,경기 가평군 북면 꽃넘이길 59,"95,000원","55,000원",,기준 2인 (최대 4인),"별점
4.61","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
티앤파스텔글램핑,슈슈(스파),http://tnresort.kr,경기 가평군 북면 꽃넘이길 59,"95,000원","55,000원",,기준 2인 (최대 4인),"별점
4.61","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
티앤파스텔글램핑,라피네(단체룸),http://tnresort.kr,경기 가평군 북면 꽃넘이길 59,"339,000원","199,000원",,기준 6인 (최대 10인),"별점
4.61","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
